Open,Signal,Date
42.529999,1,2014-10-16
43.200001,1,2014-10-17
43.060001,1,2014-10-20
44.360001,1,2014-10-21
45.0,1,2014-10-22
44.619999,1,2014-10-23
46.830002,1,2014-10-24
45.709999,1,2014-10-27
45.860001,1,2014-10-28
46.439999,1,2014-10-29
46.32,1,2014-10-30
46.939999,1,2014-10-31
46.889999,1,2014-11-03
47.299999,1,2014-11-04
47.799999,1,2014-11-05
47.860001,1,2014-11-06
48.919998,1,2014-11-07
48.650002,1,2014-11-10
48.849998,1,2014-11-11
48.560001,1,2014-11-12
48.810001,1,2014-11-13
49.740002,1,2014-11-14
49.41,1,2014-11-17
49.130001,1,2014-11-18
48.66,1,2014-11-19
48.0,1,2014-11-20
49.02,1,2014-11-21
47.990002,1,2014-11-24
47.66,1,2014-11-25
47.490002,1,2014-11-26
47.950001,1,2014-11-28
47.880001,1,2014-12-01
48.84,1,2014-12-02
48.439999,1,2014-12-03
48.389999,1,2014-12-04
48.82,1,2014-12-05
48.259998,1,2014-12-08
47.110001,1,2014-12-09
47.580002,1,2014-12-10
47.080002,1,2014-12-11
46.779999,1,2014-12-12
47.200001,1,2014-12-15
45.900002,1,2014-12-16
45.049999,1,2014-12-17
46.580002,1,2014-12-18
47.630001,1,2014-12-19
47.779999,1,2014-12-22
48.369999,1,2014-12-23
48.639999,1,2014-12-24
48.41,1,2014-12-26
47.700001,1,2014-12-29
47.439999,1,2014-12-30
46.73,1,2014-12-31
46.66,1,2015-01-02
46.369999,1,2015-01-05
46.380001,1,2015-01-06
45.98,1,2015-01-07
46.75,1,2015-01-08
47.610001,1,2015-01-09
47.419998,1,2015-01-12
46.970001,1,2015-01-13
45.959999,1,2015-01-14
46.220001,1,2015-01-15
45.310001,1,2015-01-16
46.299999,1,2015-01-20
45.939999,1,2015-01-21
46.380001,1,2015-01-22
47.360001,1,2015-01-23
47.0,1,2015-01-26
42.950001,1,2015-01-27
42.740002,1,2015-01-28
40.93,1,2015-01-29
41.549999,1,2015-01-30
40.59,1,2015-02-02
41.630001,1,2015-02-03
41.939999,1,2015-02-04
42.220001,1,2015-02-05
42.68,1,2015-02-06
42.240002,1,2015-02-09
42.740002,1,2015-02-10
42.650002,1,2015-02-11
42.66,1,2015-02-12
43.380001,1,2015-02-13
43.970001,1,2015-02-17
43.630001,1,2015-02-18
43.18,1,2015-02-19
43.509998,1,2015-02-20
43.700001,1,2015-02-23
44.150002,1,2015-02-24
43.950001,1,2015-02-25
43.990002,1,2015-02-26
44.130001,1,2015-02-27
43.669998,1,2015-03-02
43.560001,1,2015-03-03
43.009998,1,2015-03-04
43.07,1,2015-03-05
43.0,-1,2015-03-06
42.189999,-1,2015-03-09
42.349998,-1,2015-03-10
